Team,quarterLastDt,Quarter,Rating
FI,00:00.0,2018 - Q1,4.88
JZD,00:00.0,2018 - Q1,4.82
FI,00:00.0,2018 - Q2,4.9
JZD,00:00.0,2018 - Q2,4.69
FI,00:00.0,2018 - Q3,4.92
JZD,00:00.0,2018 - Q3,4.55
FI,00:00.0,2018 - Q4,4.63
JZD,00:00.0,2018 - Q4,4.56
FI,00:00.0,2019 - Q1,4.71
JZD,00:00.0,2019 - Q1,4.76
FI,00:00.0,2019 - Q2,4.69
JZD,00:00.0,2019 - Q2,4.6
FI,00:00.0,2019 - Q3,4.78
JZD,00:00.0,2019 - Q3,4.79
FI,00:00.0,2019 - Q4,4.54
JZD,00:00.0,2019 - Q4,4.62
FI,00:00.0,2020 - Q1,4.81
JZD,00:00.0,2020 - Q1,4.68
FI,00:00.0,2020 - Q2,4.8
JZD,00:00.0,2020 - Q2,4.68
FI,00:00.0,2020 - Q3,4.8
JZD,00:00.0,2020 - Q3,4.63
FI,00:00.0,2020 - Q4,4.8
JZD,00:00.0,2020 - Q4,4.68
CS,00:00.0,2021 - Q1,4.64
FI,00:00.0,2021 - Q1,4.84
JZD,00:00.0,2021 - Q1,4.71
