New,Closed,OpenTicketstodate,WeekNumber,Quarter,Month,Year,MonthNumber
27,26,5,26,2020 - Q2,Jun-20,2020,6
44,43,0,26,2020 - Q2,Jun-20,2020,6
23,35,0,26,2020 - Q2,Jun-20,2020,6
3,1,0,26,2020 - Q2,Jun-20,2020,6
3,0,0,27,2020 - Q2,Jun-20,2020,6
56,44,0,27,2020 - Q2,Jun-20,2020,6
48,28,0,27,2020 - Q2,Jun-20,2020,6
42,32,0,27,2020 - Q3,Jul-20,2020,7
47,42,0,27,2020 - Q3,Jul-20,2020,7
29,36,0,27,2020 - Q3,Jul-20,2020,7
1,0,0,27,2020 - Q3,Jul-20,2020,7
4,0,0,28,2020 - Q3,Jul-20,2020,7
43,24,0,28,2020 - Q3,Jul-20,2020,7
50,28,0,28,2020 - Q3,Jul-20,2020,7
43,21,0,28,2020 - Q3,Jul-20,2020,7
32,25,0,28,2020 - Q3,Jul-20,2020,7
17,27,0,28,2020 - Q3,Jul-20,2020,7
7,0,0,28,2020 - Q3,Jul-20,2020,7
6,2,0,29,2020 - Q3,Jul-20,2020,7
31,32,0,29,2020 - Q3,Jul-20,2020,7
39,28,0,29,2020 - Q3,Jul-20,2020,7
52,26,0,29,2020 - Q3,Jul-20,2020,7
36,39,0,29,2020 - Q3,Jul-20,2020,7
42,34,0,29,2020 - Q3,Jul-20,2020,7
4,2,0,29,2020 - Q3,Jul-20,2020,7
3,4,0,30,2020 - Q3,Jul-20,2020,7
65,37,0,30,2020 - Q3,Jul-20,2020,7
40,42,0,30,2020 - Q3,Jul-20,2020,7
59,35,0,30,2020 - Q3,Jul-20,2020,7
39,36,0,30,2020 - Q3,Jul-20,2020,7
23,20,0,30,2020 - Q3,Jul-20,2020,7
41,20,0,30,2020 - Q3,Jul-20,2020,7
7,1,0,31,2020 - Q3,Jul-20,2020,7
68,70,0,31,2020 - Q3,Jul-20,2020,7
46,44,0,31,2020 - Q3,Jul-20,2020,7
34,29,0,31,2020 - Q3,Jul-20,2020,7
36,34,0,31,2020 - Q3,Jul-20,2020,7
30,51,0,31,2020 - Q3,Jul-20,2020,7
1,0,0,31,2020 - Q3,Aug-20,2020,8
2,4,0,32,2020 - Q3,Aug-20,2020,8
46,55,0,32,2020 - Q3,Aug-20,2020,8
43,40,0,32,2020 - Q3,Aug-20,2020,8
33,31,0,32,2020 - Q3,Aug-20,2020,8
31,51,0,32,2020 - Q3,Aug-20,2020,8
15,25,0,32,2020 - Q3,Aug-20,2020,8
