recordDate,New,Closed,Open Tickets to date,Week Number
2021-02-02 00:00:00.000,51,37,0,6
2021-06-05 00:00:00.000,5,0,0,23
2020-09-09 00:00:00.000,28,35,0,37
2020-07-25 00:00:00.000,41,20,0,30
2020-08-14 00:00:00.000,22,30,0,33
2021-01-30 00:00:00.000,3,2,0,5
2020-07-05 00:00:00.000,4,0,0,28
2020-07-28 00:00:00.000,46,44,0,31
2020-12-21 00:00:00.000,45,50,0,52
2021-02-22 00:00:00.000,45,35,0,9
2020-11-11 00:00:00.000,66,50,0,46
2020-10-19 00:00:00.000,55,33,0,43
2020-09-29 00:00:00.000,34,52,0,40
2020-12-01 00:00:00.000,44,30,0,49
2020-08-17 00:00:00.000,41,36,0,34
2021-02-19 00:00:00.000,28,25,0,8
2021-04-06 00:00:00.000,51,28,0,15
2021-04-03 00:00:00.000,3,0,0,14
2020-09-03 00:00:00.000,40,30,0,36
2021-02-16 00:00:00.000,49,29,0,8
2020-09-26 00:00:00.000,1,0,0,39
2021-06-22 00:00:00.000,9,13,1278,26
2021-04-26 00:00:00.000,34,50,0,18
2021-03-14 00:00:00.000,1,0,0,12
2020-10-16 00:00:00.000,24,32,0,42
2020-07-08 00:00:00.000,43,21,0,28
2021-06-02 00:00:00.000,56,67,0,23
2020-08-20 00:00:00.000,32,41,0,34
2021-01-07 00:00:00.000,47,36,0,2
2021-05-16 00:00:00.000,10,0,0,21
2021-03-31 00:00:00.000,44,50,0,14
2020-11-05 00:00:00.000,34,32,0,45
2021-01-27 00:00:00.000,37,39,0,5
2021-04-23 00:00:00.000,36,38,0,17
2021-03-11 00:00:00.000,39,42,0,11
2021-02-25 00:00:00.000,38,34,0,9
2021-04-12 00:00:00.000,58,47,0,16
2020-08-06 00:00:00.000,31,51,0,32
2020-10-22 00:00:00.000,34,36,0,43
2020-11-14 00:00:00.000,1,0,0,46
2020-12-10 00:00:00.000,42,43,0,50
2020-10-02 00:00:00.000,34,26,0,40
2021-06-08 00:00:00.000,55,48,0,24
2020-07-14 00:00:00.000,39,28,0,29
2021-05-02 00:00:00.000,1,0,0,19
2021-02-05 00:00:00.000,38,36,0,6
2021-01-13 00:00:00.000,39,63,0,3
2021-04-09 00:00:00.000,34,39,0,15
2020-07-17 00:00:00.000,42,34,0,29
2021-03-17 00:00:00.000,31,44,0,12
2021-06-11 00:00:00.000,37,52,0,24
2021-04-29 00:00:00.000,46,33,0,18
2020-09-15 00:00:00.000,43,38,0,38
2020-08-23 00:00:00.000,2,0,0,35
2020-10-08 00:00:00.000,31,31,0,41
2021-03-03 00:00:00.000,53,50,0,10
2020-12-24 00:00:00.000,18,28,0,52
2021-02-08 00:00:00.000,32,47,0,7
2021-05-19 00:00:00.000,42,52,0,21
2020-07-31 00:00:00.000,30,51,0,31
2021-05-22 00:00:00.000,2,0,0,21
2021-06-14 00:00:00.000,57,24,0,25
2021-01-16 00:00:00.000,4,1,0,3
2020-12-04 00:00:00.000,34,41,0,49
2020-08-26 00:00:00.000,46,29,0,35
2021-02-28 00:00:00.000,3,0,0,10
2020-09-12 00:00:00.000,1,0,0,37
2020-10-05 00:00:00.000,25,31,0,41
2020-10-28 00:00:00.000,29,60,0,44
2021-03-23 00:00:00.000,63,36,0,13
2021-05-25 00:00:00.000,56,42,0,22
2020-08-03 00:00:00.000,46,55,0,32
2020-12-27 00:00:00.000,4,1,0,53
2020-12-07 00:00:00.000,49,52,0,50
2020-12-30 00:00:00.000,28,22,0,53
2020-11-17 00:00:00.000,50,62,0,47
2020-10-25 00:00:00.000,3,0,0,44
2020-07-11 00:00:00.000,7,0,0,28
2021-01-19 00:00:00.000,55,36,0,4
2020-09-21 00:00:00.000,43,40,0,39
2021-05-28 00:00:00.000,32,37,0,22
2020-11-06 00:00:00.000,30,30,0,45
2021-02-14 00:00:00.000,1,1,0,8
2020-09-01 00:00:00.000,28,30,0,36
2021-06-20 00:00:00.000,2,0,0,26
2021-01-22 00:00:00.000,29,38,0,4
2020-10-14 00:00:00.000,29,45,0,42
2020-11-03 00:00:00.000,50,37,0,45
2021-05-31 00:00:00.000,49,38,0,23
2020-11-20 00:00:00.000,25,31,0,47
2021-01-05 00:00:00.000,41,30,0,2
2021-03-29 00:00:00.000,69,41,0,14
2020-12-25 00:00:00.000,0,18,0,52
2021-02-20 00:00:00.000,0,1,0,8
2020-11-21 00:00:00.000,0,1,0,47
2020-09-19 00:00:00.000,0,1,0,38
2020-08-09 00:00:00.000,0,1,0,33
2021-02-15 00:00:00.000,56,60,0,8
2021-06-21 00:00:00.000,68,48,0,26
2021-03-07 00:00:00.000,3,0,0,11
2020-07-07 00:00:00.000,50,28,0,28
2020-11-10 00:00:00.000,44,32,0,46
2021-04-08 00:00:00.000,47,43,0,15
2020-12-26 00:00:00.000,2,2,0,52
2020-08-02 00:00:00.000,2,4,0,32
2021-04-28 00:00:00.000,50,51,0,18
2021-01-18 00:00:00.000,53,48,0,4
2021-03-16 00:00:00.000,55,44,0,12
2020-07-10 00:00:00.000,17,27,0,28
2020-08-22 00:00:00.000,1,0,0,34
2020-09-14 00:00:00.000,65,39,0,38
2021-02-01 00:00:00.000,47,47,0,6
2021-05-18 00:00:00.000,64,49,0,21
2021-04-05 00:00:00.000,4,13,0,15
2020-07-13 00:00:00.000,31,32,0,29
2021-04-25 00:00:00.000,5,1,0,18
2020-08-25 00:00:00.000,37,28,0,35
2021-02-04 00:00:00.000,44,57,0,6
2021-01-12 00:00:00.000,51,38,0,3
2020-08-19 00:00:00.000,38,33,0,34
2020-09-11 00:00:00.000,33,36,0,37
2020-10-04 00:00:00.000,5,0,0,41
2021-06-07 00:00:00.000,62,36,0,24
2021-02-27 00:00:00.000,2,2,0,9
2020-11-16 00:00:00.000,48,43,0,47
2020-10-24 00:00:00.000,4,0,0,43
2020-11-30 00:00:00.000,36,43,0,49
2021-06-10 00:00:00.000,43,41,0,24
2020-07-30 00:00:00.000,36,34,0,31
2021-02-07 00:00:00.000,1,1,0,7
2021-02-24 00:00:00.000,48,44,0,9
2020-12-23 00:00:00.000,34,46,0,52
2021-04-11 00:00:00.000,2,0,0,16
2020-11-13 00:00:00.000,42,25,0,46
2021-05-21 00:00:00.000,46,37,0,21
2020-10-21 00:00:00.000,29,30,0,43
2020-10-01 00:00:00.000,39,35,0,40
2020-09-08 00:00:00.000,28,40,0,37
2021-03-19 00:00:00.000,30,17,0,12
2021-01-15 00:00:00.000,37,22,0,3
2021-05-01 00:00:00.000,5,0,0,18
2020-12-03 00:00:00.000,52,59,0,49
2020-11-02 00:00:00.000,56,38,0,45
2021-02-10 00:00:00.000,45,55,0,7
2021-03-28 00:00:00.000,3,0,0,14
2020-09-17 00:00:00.000,42,37,0,38
2021-05-24 00:00:00.000,5,19,0,22
2020-07-22 00:00:00.000,59,35,0,30
2020-08-28 00:00:00.000,31,28,0,35
2021-03-08 00:00:00.000,50,54,0,11
2021-06-16 00:00:00.000,49,45,0,25
2021-05-10 00:00:00.000,47,54,0,20
2020-10-07 00:00:00.000,34,22,0,41
2021-03-02 00:00:00.000,44,47,0,10
2020-10-30 00:00:00.000,12,26,0,44
2021-03-25 00:00:00.000,45,46,0,13
2021-04-17 00:00:00.000,2,0,0,16
2021-05-27 00:00:00.000,52,31,0,22
2020-08-05 00:00:00.000,33,31,0,32
2021-02-13 00:00:00.000,4,0,0,7
2020-12-29 00:00:00.000,38,30,0,53
2021-01-01 00:00:00.000,2,9,0,1
2020-12-09 00:00:00.000,40,42,0,50
2021-03-05 00:00:00.000,37,29,0,10
2021-06-19 00:00:00.000,1,0,0,25
2021-01-21 00:00:00.000,50,41,0,4
2021-05-07 00:00:00.000,25,40,0,19
2021-04-14 00:00:00.000,51,39,0,16
2021-03-22 00:00:00.000,50,39,0,13
2020-10-27 00:00:00.000,38,33,0,44
2020-11-19 00:00:00.000,39,36,0,47
2021-01-04 00:00:00.000,54,22,0,2
2021-05-30 00:00:00.000,2,0,0,23
2020-09-23 00:00:00.000,44,27,0,39
2021-01-24 00:00:00.000,3,0,0,5
2020-07-16 00:00:00.000,36,39,0,29
2020-08-08 00:00:00.000,1,10,0,32
2021-05-04 00:00:00.000,50,38,0,19
2020-11-22 00:00:00.000,1,0,0,48
2020-12-15 00:00:00.000,43,32,0,51
2020-09-20 00:00:00.000,2,0,0,39
2020-08-11 00:00:00.000,27,36,0,33
2021-06-13 00:00:00.000,1,0,0,25
2020-07-19 00:00:00.000,3,4,0,30
2020-08-31 00:00:00.000,35,43,0,36
2020-10-13 00:00:00.000,46,34,0,42
2020-11-25 00:00:00.000,45,43,0,48
2020-12-18 00:00:00.000,35,37,0,51
2021-05-13 00:00:00.000,5,21,0,20
2021-04-20 00:00:00.000,49,52,0,17
2021-01-10 00:00:00.000,9,0,0,3
2020-09-18 00:00:00.000,40,31,0,38
2021-02-17 00:00:00.000,53,52,0,8
2021-01-25 00:00:00.000,50,52,0,5
2020-12-13 00:00:00.000,1,0,0,51
2020-08-29 00:00:00.000,3,0,0,35
2021-04-21 00:00:00.000,46,69,0,17
2021-03-09 00:00:00.000,36,26,0,11
2020-10-11 00:00:00.000,4,0,0,42
2020-10-31 00:00:00.000,1,0,0,44
2020-12-16 00:00:00.000,51,41,0,51
2021-03-26 00:00:00.000,40,51,0,13
2020-11-23 00:00:00.000,40,50,0,48
2021-04-18 00:00:00.000,9,0,0,17
2021-05-11 00:00:00.000,73,43,0,20
2020-07-23 00:00:00.000,39,36,0,30
2020-08-12 00:00:00.000,44,37,0,33
2020-07-20 00:00:00.000,65,37,0,30
2021-01-28 00:00:00.000,51,44,0,5
2020-11-26 00:00:00.000,34,48,0,48
2021-05-08 00:00:00.000,2,0,0,19
2021-04-15 00:00:00.000,50,33,0,16
2021-02-11 00:00:00.000,57,50,0,7
2020-09-24 00:00:00.000,44,33,0,39
2020-09-04 00:00:00.000,30,38,0,36
2021-05-05 00:00:00.000,25,37,0,19
2020-07-03 00:00:00.000,29,36,7,27
2021-06-17 00:00:00.000,46,24,0,25
2020-07-29 00:00:00.000,34,29,0,31
2020-07-06 00:00:00.000,43,24,0,28
2020-08-21 00:00:00.000,23,30,0,34
2021-01-14 00:00:00.000,49,45,0,3
2021-05-17 00:00:00.000,62,46,0,21
2020-12-22 00:00:00.000,44,60,0,52
2021-04-01 00:00:00.000,60,67,0,14
2021-05-20 00:00:00.000,65,44,0,21
2021-04-24 00:00:00.000,1,0,0,17
2020-12-02 00:00:00.000,38,49,0,49
2021-03-12 00:00:00.000,31,37,0,11
2020-08-18 00:00:00.000,41,33,0,34
